City,State,year,month,homicide_type,count,UCR_Type
Baltimore,MD,2012,1,FIREARM,8,
Baltimore,MD,2012,1,KNIFE,1,
Baltimore,MD,2012,1,OTHER,2,
Baltimore,MD,2012,2,FIREARM,8,
Baltimore,MD,2012,2,KNIFE,2,
Baltimore,MD,2012,2,OTHER,1,
Baltimore,MD,2012,3,FIREARM,18,
Baltimore,MD,2012,3,OTHER,1,
Baltimore,MD,2012,4,FIREARM,18,
Baltimore,MD,2012,4,KNIFE,2,
Baltimore,MD,2012,5,FIREARM,19,
Baltimore,MD,2012,5,KNIFE,3,
Baltimore,MD,2012,5,OTHER,4,
Baltimore,MD,2012,6,FIREARM,14,
Baltimore,MD,2012,6,KNIFE,1,
Baltimore,MD,2012,6,OTHER,1,
Baltimore,MD,2012,7,FIREARM,15,
Baltimore,MD,2012,7,OTHER,2,
Baltimore,MD,2012,8,FIREARM,14,
Baltimore,MD,2012,8,KNIFE,3,
Baltimore,MD,2012,8,OTHER,3,
Baltimore,MD,2012,9,FIREARM,24,
Baltimore,MD,2012,9,KNIFE,1,
Baltimore,MD,2012,10,FIREARM,16,
Baltimore,MD,2012,11,FIREARM,17,
Baltimore,MD,2012,11,KNIFE,2,
Baltimore,MD,2012,11,OTHER,1,
Baltimore,MD,2012,12,FIREARM,10,
Baltimore,MD,2012,12,KNIFE,4,
Baltimore,MD,2012,12,OTHER,1,
Baltimore,MD,2013,1,FIREARM,11,
Baltimore,MD,2013,1,KNIFE,2,
Baltimore,MD,2013,1,OTHER,1,
Baltimore,MD,2013,2,FIREARM,12,
Baltimore,MD,2013,2,KNIFE,2,
Baltimore,MD,2013,2,OTHER,1,
Baltimore,MD,2013,3,FIREARM,16,
Baltimore,MD,2013,3,KNIFE,4,
Baltimore,MD,2013,4,FIREARM,14,
Baltimore,MD,2013,4,KNIFE,4,
Baltimore,MD,2013,4,OTHER,2,
Baltimore,MD,2013,5,FIREARM,17,
Baltimore,MD,2013,5,KNIFE,1,
Baltimore,MD,2013,5,OTHER,2,
Baltimore,MD,2013,6,FIREARM,23,
Baltimore,MD,2013,6,KNIFE,2,
Baltimore,MD,2013,6,OTHER,2,
Baltimore,MD,2013,7,FIREARM,14,
Baltimore,MD,2013,7,KNIFE,2,
Baltimore,MD,2013,7,OTHER,5,
Baltimore,MD,2013,8,FIREARM,12,
Baltimore,MD,2013,8,KNIFE,2,
Baltimore,MD,2013,8,OTHER,2,
Baltimore,MD,2013,9,FIREARM,19,
Baltimore,MD,2013,9,KNIFE,1,
Baltimore,MD,2013,9,OTHER,3,
Baltimore,MD,2013,10,FIREARM,16,
Baltimore,MD,2013,10,KNIFE,2,
Baltimore,MD,2013,10,OTHER,1,
Baltimore,MD,2013,11,FIREARM,18,
Baltimore,MD,2013,11,KNIFE,2,
Baltimore,MD,2013,11,OTHER,1,
Baltimore,MD,2013,12,FIREARM,15,
Baltimore,MD,2013,12,KNIFE,3,
Baltimore,MD,2013,12,OTHER,1,
Baltimore,MD,2014,1,FIREARM,23,
Baltimore,MD,2014,1,KNIFE,4,
Baltimore,MD,2014,2,FIREARM,8,
Baltimore,MD,2014,2,KNIFE,1,
Baltimore,MD,2014,2,OTHER,1,
Baltimore,MD,2014,3,FIREARM,4,
Baltimore,MD,2014,3,KNIFE,2,
Baltimore,MD,2014,3,OTHER,1,
Baltimore,MD,2014,4,FIREARM,7,
Baltimore,MD,2014,4,KNIFE,3,
Baltimore,MD,2014,4,OTHER,2,
Baltimore,MD,2014,5,FIREARM,18,
Baltimore,MD,2014,5,KNIFE,3,
Baltimore,MD,2014,5,OTHER,2,
Baltimore,MD,2014,6,FIREARM,15,
Baltimore,MD,2014,6,KNIFE,3,
Baltimore,MD,2014,6,OTHER,1,
Baltimore,MD,2014,7,FIREARM,16,
Baltimore,MD,2014,7,KNIFE,3,
Baltimore,MD,2014,7,OTHER,2,
Baltimore,MD,2014,8,FIREARM,17,
Baltimore,MD,2014,8,KNIFE,7,
Baltimore,MD,2014,8,OTHER,2,
Baltimore,MD,2014,9,FIREARM,16,
Baltimore,MD,2014,9,KNIFE,3,
Baltimore,MD,2014,10,FIREARM,13,
Baltimore,MD,2014,10,KNIFE,3,
Baltimore,MD,2014,10,OTHER,3,
Baltimore,MD,2014,11,FIREARM,10,
Baltimore,MD,2014,11,KNIFE,1,
Baltimore,MD,2014,11,OTHER,2,
Baltimore,MD,2014,12,FIREARM,13,
Baltimore,MD,2014,12,KNIFE,2,
Baltimore,MD,2015,1,FIREARM,20,
Baltimore,MD,2015,1,KNIFE,1,
Baltimore,MD,2015,1,OTHER,1,
Baltimore,MD,2015,2,FIREARM,11,
Baltimore,MD,2015,2,KNIFE,1,
Baltimore,MD,2015,2,OTHER,1,
Baltimore,MD,2015,3,FIREARM,12,
Baltimore,MD,2015,3,KNIFE,3,
Baltimore,MD,2015,4,FIREARM,18,
Baltimore,MD,2015,4,KNIFE,2,
Baltimore,MD,2015,4,OTHER,3,
Baltimore,MD,2015,5,FIREARM,39,
Baltimore,MD,2015,5,KNIFE,1,
Baltimore,MD,2015,5,OTHER,1,
Baltimore,MD,2015,6,FIREARM,22,
Baltimore,MD,2015,6,KNIFE,2,
Baltimore,MD,2015,6,OTHER,5,
Baltimore,MD,2015,7,FIREARM,40,
Baltimore,MD,2015,7,KNIFE,4,
Baltimore,MD,2015,7,OTHER,1,
Baltimore,MD,2015,8,FIREARM,32,
Baltimore,MD,2015,8,KNIFE,2,
Baltimore,MD,2015,9,FIREARM,24,
Baltimore,MD,2015,9,KNIFE,2,
Baltimore,MD,2015,9,OTHER,1,
Baltimore,MD,2015,10,FIREARM,30,
Baltimore,MD,2015,10,KNIFE,1,
Baltimore,MD,2015,10,OTHER,2,
Baltimore,MD,2015,11,FIREARM,25,
Baltimore,MD,2015,11,KNIFE,2,
Baltimore,MD,2015,12,FIREARM,25,
Baltimore,MD,2015,12,KNIFE,6,
Baltimore,MD,2015,12,OTHER,2,
Baltimore,MD,2016,1,FIREARM,9,
Baltimore,MD,2016,1,KNIFE,2,
Baltimore,MD,2016,1,OTHER,3,
Baltimore,MD,2016,2,FIREARM,22,
Baltimore,MD,2016,2,KNIFE,2,
Baltimore,MD,2016,3,FIREARM,18,
Baltimore,MD,2016,4,FIREARM,27,
Baltimore,MD,2016,4,KNIFE,1,
Baltimore,MD,2016,5,FIREARM,22,
Baltimore,MD,2016,5,KNIFE,2,
Baltimore,MD,2016,5,OTHER,2,
Baltimore,MD,2016,6,FIREARM,26,
Baltimore,MD,2016,6,OTHER,1,
Baltimore,MD,2016,7,FIREARM,31,
Baltimore,MD,2016,7,KNIFE,3,
Baltimore,MD,2016,7,OTHER,2,
Baltimore,MD,2016,8,FIREARM,21,
Baltimore,MD,2016,8,KNIFE,2,
Baltimore,MD,2016,8,OTHER,4,
Baltimore,MD,2016,9,FIREARM,19,
Baltimore,MD,2016,9,KNIFE,4,
Baltimore,MD,2016,9,OTHER,7,
Baltimore,MD,2016,10,FIREARM,26,
Baltimore,MD,2016,10,KNIFE,3,
Baltimore,MD,2016,10,OTHER,1,
Baltimore,MD,2016,11,FIREARM,27,
Baltimore,MD,2016,11,OTHER,3,
Baltimore,MD,2016,12,FIREARM,24,
Baltimore,MD,2016,12,KNIFE,3,
Baltimore,MD,2016,12,OTHER,1,
Baltimore,MD,2017,1,FIREARM,29,
Baltimore,MD,2017,1,KNIFE,2,
Baltimore,MD,2017,1,OTHER,1,
Baltimore,MD,2017,2,FIREARM,19,
Baltimore,MD,2017,2,KNIFE,3,
Baltimore,MD,2017,3,FIREARM,18,
Baltimore,MD,2017,3,KNIFE,3,
Baltimore,MD,2017,3,OTHER,4,
Baltimore,MD,2017,4,FIREARM,27,
Baltimore,MD,2017,4,KNIFE,1,
Baltimore,MD,2017,4,OTHER,1,
Baltimore,MD,2017,5,FIREARM,35,
Baltimore,MD,2017,5,KNIFE,1,
Baltimore,MD,2017,5,OTHER,2,
Baltimore,MD,2017,6,FIREARM,21,
Baltimore,MD,2017,6,KNIFE,2,
Baltimore,MD,2017,6,OTHER,1,
Baltimore,MD,2017,7,FIREARM,28,
Baltimore,MD,2017,7,KNIFE,2,
Baltimore,MD,2017,7,OTHER,4,
Baltimore,MD,2017,8,FIREARM,12,
Baltimore,MD,2017,8,KNIFE,1,
